"month_day","rides","month","day","date"
"1/1","19110","1","1","2019/1/1"
"1/2","24055","1","2","2019/1/2"
"1/3","28028","1","3","2019/1/3"
"1/4","29721","1","4","2019/1/4"
"1/5","19212","1","5","2019/1/5"
"1/6","18148","1","6","2019/1/6"
"1/7","28792","1","7","2019/1/7"
"1/8","30730","1","8","2019/1/8"
"1/9","35747","1","9","2019/1/9"
"1/10","38262","1","10","2019/1/10"
"1/11","37365","1","11","2019/1/11"
"1/12","21720","1","12","2019/1/12"
"1/13","16328","1","13","2019/1/13"
"1/14","29996","1","14","2019/1/14"
"1/15","34458","1","15","2019/1/15"
"1/16","36520","1","16","2019/1/16"
"1/17","38159","1","17","2019/1/17"
"1/18","36753","1","18","2019/1/18"
"1/19","19443","1","19","2019/1/19"
"1/20","17781","1","20","2019/1/20"
"1/21","21791","1","21","2019/1/21"
"1/22","35460","1","22","2019/1/22"
"1/23","38184","1","23","2019/1/23"
"1/24","40782","1","24","2019/1/24"
"1/25","37155","1","25","2019/1/25"
"1/26","19980","1","26","2019/1/26"
"1/27","17114","1","27","2019/1/27"
"1/28","27789","1","28","2019/1/28"
"1/29","31528","1","29","2019/1/29"
"1/30","9278","1","30","2019/1/30"
"1/31","19783","1","31","2019/1/31"
"2/1","36856","2","1","2019/2/1"
"2/2","19396","2","2","2019/2/2"
"2/3","16331","2","3","2019/2/3"
"2/4","31668","2","4","2019/2/4"
"2/5","35102","2","5","2019/2/5"
"2/6","36469","2","6","2019/2/6"
"2/7","42328","2","7","2019/2/7"
"2/8","41676","2","8","2019/2/8"
"2/9","22306","2","9","2019/2/9"
"2/10","17847","2","10","2019/2/10"
"2/11","33370","2","11","2019/2/11"
"2/12","37097","2","12","2019/2/12"
"2/13","39648","2","13","2019/2/13"
"2/14","37228","2","14","2019/2/14"
"2/15","41050","2","15","2019/2/15"
"2/16","25729","2","16","2019/2/16"
"2/17","20785","2","17","2019/2/17"
"2/18","25947","2","18","2019/2/18"
"2/19","36210","2","19","2019/2/19"
"2/20","40567","2","20","2019/2/20"
"2/21","44172","2","21","2019/2/21"
"2/22","45128","2","22","2019/2/22"
"2/23","28567","2","23","2019/2/23"
"2/24","20685","2","24","2019/2/24"
"2/25","34289","2","25","2019/2/25"
"2/26","37335","2","26","2019/2/26"
"2/27","39500","2","27","2019/2/27"
"2/28","42720","2","28","2019/2/28"
"3/1","43457","3","1","2019/3/1"
"3/2","27091","3","2","2019/3/2"
"3/3","25161","3","3","2019/3/3"
"3/4","41120","3","4","2019/3/4"
"3/5","42952","3","5","2019/3/5"
"3/6","41367","3","6","2019/3/6"
"3/7","43041","3","7","2019/3/7"
"3/8","38875","3","8","2019/3/8"
"3/9","22817","3","9","2019/3/9"
"3/10","18604","3","10","2019/3/10"
"3/11","33740","3","11","2019/3/11"
"3/12","36960","3","12","2019/3/12"
"3/13","39196","3","13","2019/3/13"
"3/14","43931","3","14","2019/3/14"
"3/15","46957","3","15","2019/3/15"
"3/16","41695","3","16","2019/3/16"
"3/17","24129","3","17","2019/3/17"
"3/18","35644","3","18","2019/3/18"
"3/19","36326","3","19","2019/3/19"
"3/20","40535","3","20","2019/3/20"
"3/21","41974","3","21","2019/3/21"
"3/22","40815","3","22","2019/3/22"
"3/23","25507","3","23","2019/3/23"
"3/24","21977","3","24","2019/3/24"
"3/25","31232","3","25","2019/3/25"
"3/26","33798","3","26","2019/3/26"
"3/27","34994","3","27","2019/3/27"
"3/28","37039","3","28","2019/3/28"
"3/29","37990","3","29","2019/3/29"
"3/30","25475","3","30","2019/3/30"
"3/31","21763","3","31","2019/3/31"
"4/1","34809","4","1","2019/4/1"
"4/2","36943","4","2","2019/4/2"
"4/3","40206","4","3","2019/4/3"
"4/4","46684","4","4","2019/4/4"
