"area_name","miles","rides","km"
"Near West Side","0.0-0.2","718776","0.0-0.3"
"Near West Side","3.0-3.2","117667","4.8-5.1"
"Near West Side","16.0-16.2","23217","25.6-25.9"
"Near West Side","11.0-11.2","12046","17.6-17.9"
"Near West Side","9.0-9.2","14623","14.4-14.7"
"Near West Side","1.0-1.2","1164685","1.6-1.9"
"Near West Side","2.0-2.2","403504","3.2-3.5"
"Near West Side","4.0-4.2","55299","6.4-6.7"
"Near West Side","5.0-5.2","36883","8.0-8.3"
"Near West Side","6.0-6.2","27816","9.6-9.9"
"Near West Side","7.0-7.2","22844","11.2-11.5"
"Near West Side","8.0-8.2","17219","12.8-13.1"
"Near West Side","12.0-12.2","6991","19.2-19.5"
"Near West Side","17.0-17.2","47066","27.2-27.5"
"Near West Side","19.0-19.2","2981","30.4-30.7"
"Near West Side","14.0-14.2","2929","22.4-22.7"
"Near West Side","13.0-13.2","4703","20.8-21.1"
"Near West Side","10.0-10.2","21454","16.0-16.3"
"Near West Side","18.0-18.2","10642","28.8-29.1"
"Near West Side","51.0-51.2","4","81.6-81.9"
"Near West Side","15.0-15.2","3543","24.0-24.3"
"Near West Side","42.0-42.2","13","67.2-67.5"
"Near West Side","40.0-40.2","15","64.0-64.3"
"Near West Side","25.0-25.2","438","40.0-40.3"
"Near West Side","27.0-27.2","132","43.2-43.5"
"Near West Side","33.0-33.2","94","52.8-53.1"
"Near West Side","23.0-23.2","519","36.8-37.1"
"Near West Side","26.0-26.2","251","41.6-41.9"
"Near West Side","24.0-24.2","534","38.4-38.7"
"Near West Side","20.0-20.2","1044","32.0-32.3"
"Near West Side","32.0-32.2","81","51.2-51.5"
"Near West Side","56.0-56.2","6","89.6-89.9"
"Near West Side","22.0-22.2","356","35.2-35.5"
"Near West Side","46.0-46.2","11","73.6-73.9"
"Near West Side","28.0-28.2","67","44.8-45.1"
"Near West Side","44.0-44.2","8","70.4-70.7"
"Near West Side","21.0-21.2","494","33.6-33.9"
"Near West Side","36.0-36.2","32","57.6-57.9"
"Near West Side","35.0-35.2","43","56.0-56.3"
"Near West Side","30.0-30.2","57","48.0-48.3"
"Near West Side","39.0-39.2","24","62.4-62.7"
"Near West Side","29.0-29.2","63","46.4-46.7"
"Near West Side","71.0-71.2","7","113.6-113.9"
