"milage","rides","km"
"0.0-0.2","2720800","0.0-0.3"
"1.0-1.2","3797291","1.6-1.9"
"2.0-2.2","1242262","3.2-3.5"
"3.0-3.2","653330","4.8-5.1"
"4.0-4.2","385430","6.4-6.7"
"5.0-5.2","284243","8.0-8.3"
"6.0-6.2","202848","9.6-9.9"
"7.0-7.2","147929","11.2-11.5"
"8.0-8.2","111776","12.8-13.1"
"9.0-9.2","94184","14.4-14.7"
"10.0-10.2","83632","16.0-16.3"
"11.0-11.2","92317","17.6-17.9"
"12.0-12.2","153414","19.2-19.5"
"13.0-13.2","147825","20.8-21.1"
"14.0-14.2","119566","22.4-22.7"
"15.0-15.2","99395","24.0-24.3"
"16.0-16.2","142621","25.6-25.9"
"17.0-17.2","470428","27.2-27.5"
"18.0-18.2","276636","28.8-29.1"
"19.0-19.2","51060","30.4-30.7"
"20.0-20.2","37394","32.0-32.3"
"21.0-21.2","26837","33.6-33.9"
"22.0-22.2","8039","35.2-35.5"
"23.0-23.2","5543","36.8-37.1"
"24.0-24.2","7202","38.4-38.7"
"25.0-25.2","7353","40.0-40.3"
"26.0-26.2","6048","41.6-41.9"
"27.0-27.2","4291","43.2-43.5"
"28.0-28.2","2974","44.8-45.1"
"29.0-29.2","2250","46.4-46.7"
"30.0-30.2","2406","48.0-48.3"
"31.0-31.2","2529","49.6-49.9"
"32.0-32.2","1592","51.2-51.5"
"33.0-33.2","1258","52.8-53.1"
"34.0-34.2","965","54.4-54.7"
"35.0-35.2","790","56.0-56.3"
"36.0-36.2","554","57.6-57.9"
"37.0-37.2","348","59.2-59.5"
"38.0-38.2","273","60.8-61.1"
"39.0-39.2","276","62.4-62.7"
"40.0-40.2","235","64.0-64.3"
"41.0-41.2","205","65.6-65.9"
"42.0-42.2","187","67.2-67.5"
"43.0-43.2","215","68.8-69.1"
"44.0-44.2","131","70.4-70.7"
"45.0-45.2","111","72.0-72.3"
"46.0-46.2","94","73.6-73.9"
"47.0-47.2","72","75.2-75.5"
"48.0-48.2","74","76.8-77.1"
"49.0-49.2","61","78.4-78.7"
"50.0-50.2","46","80.0-80.3"
"51.0-51.2","50","81.6-81.9"
"52.0-52.2","45","83.2-83.5"
"53.0-53.2","40","84.8-85.1"
"54.0-54.2","33","86.4-86.7"
"55.0-55.2","36","88.0-88.3"
"56.0-56.2","37","89.6-89.9"
"57.0-57.2","36","91.2-91.5"
"58.0-58.2","31","92.8-93.1"
"59.0-59.2","20","94.4-94.7"
"60.0-60.2","24","96.0-96.3"
"61.0-61.2","21","97.6-97.9"
"62.0-62.2","16","99.2-99.5"
"63.0-63.2","20","100.8-101.1"
"64.0-64.2","19","102.4-102.7"
"65.0-65.2","15","104.0-104.3"
"66.0-66.2","8","105.6-105.9"
"67.0-67.2","10","107.2-107.5"
"68.0-68.2","12","108.8-109.1"
"69.0-69.2","7","110.4-110.7"
"70.0-70.2","11","112.0-112.3"
"71.0-71.2","13","113.6-113.9"
"72.0-72.2","14","115.2-115.5"
"73.0-73.2","12","116.8-117.1"
"74.0-74.2","5","118.4-118.7"
"75.0-75.2","7","120.0-120.3"
"76.0-76.2","6","121.6-121.9"
"77.0-77.2","6","123.2-123.5"
"78.0-78.2","8","124.8-125.1"
"79.0-79.2","4","126.4-126.7"
"80.0-80.2","19","128.0-128.3"
"81.0-81.2","5","129.6-129.9"
"82.0-82.2","8","131.2-131.5"
"83.0-83.2","4","132.8-133.1"
"84.0-84.2","4","134.4-134.7"
"85.0-85.2","2","136.0-136.3"
"86.0-86.2","2","137.6-137.9"
"87.0-87.2","4","139.2-139.5"
"88.0-88.2","2","140.8-141.1"
"89.0-89.2","2","142.4-142.7"
"90.0-90.2","4","144.0-144.3"
"91.0-91.2","8","145.6-145.9"
"92.0-92.2","7","147.2-147.5"
"93.0-93.2","4","148.8-149.1"
"94.0-94.2","4","150.4-150.7"
"95.0-95.2","4","152.0-152.3"
"96.0-96.2","2","153.6-153.9"
"97.0-97.2","1","155.2-155.5"
"98.0-98.2","4","156.8-157.1"
"99.0-99.2","5","158.4-158.7"
"100.0-100.2","5","160.0-160.3"
