"area_name","area_code","from","to","from_share","to_share","total_area_rides","fromto","identifier"
"Rogers Park","1","42294","57108","42.5","57.5","99402","42.5","from"
"Rogers Park","1","42294","57108","42.5","57.5","99402","57.5","to"
"West Ridge","2","35512","50914","41.1","58.9","86426","41.1","from"
"West Ridge","2","35512","50914","41.1","58.9","86426","58.9","to"
"Uptown","3","110235","160128","40.8","59.2","270363","40.8","from"
"Uptown","3","110235","160128","40.8","59.2","270363","59.2","to"
"Lincoln Square","4","37557","72353","34.2","65.8","109910","34.2","from"
"Lincoln Square","4","37557","72353","34.2","65.8","109910","65.8","to"
"North Center","5","22646","80983","21.9","78.1","103629","21.9","from"
"North Center","5","22646","80983","21.9","78.1","103629","78.1","to"
"Lake View","6","369547","498359","42.6","57.4","867906","42.6","from"
"Lake View","6","369547","498359","42.6","57.4","867906","57.4","to"
"Lincoln Park","7","242809","517864","31.9","68.1","760673","31.9","from"
"Lincoln Park","7","242809","517864","31.9","68.1","760673","68.1","to"
"Near North Side","8","3602660","3534108","50.5","49.5","7136768","50.5","from"
"Near North Side","8","3602660","3534108","50.5","49.5","7136768","49.5","to"
"Edison Park","9","706","3817","15.6","84.4","4523","15.6","from"
"Edison Park","9","706","3817","15.6","84.4","4523","84.4","to"
"Norwood Park","10","7317","22085","24.9","75.1","29402","24.9","from"
"Norwood Park","10","7317","22085","24.9","75.1","29402","75.1","to"
"Jefferson Park","11","23143","23543","49.6","50.4","46686","49.6","from"
"Jefferson Park","11","23143","23543","49.6","50.4","46686","50.4","to"
"Forest Glen","12","3408","11172","23.4","76.6","14580","23.4","from"
"Forest Glen","12","3408","11172","23.4","76.6","14580","76.6","to"
"North Park","13","7790","15084","34.1","65.9","22874","34.1","from"
"North Park","13","7790","15084","34.1","65.9","22874","65.9","to"
"Albany Park","14","23548","36057","39.5","60.5","59605","39.5","from"
"Albany Park","14","23548","36057","39.5","60.5","59605","60.5","to"
"Portage Park","15","11952","25425","32.0","68.0","37377","32.0","from"
"Portage Park","15","11952","25425","32.0","68.0","37377","68.0","to"
"Irving Park","16","32582","55794","36.9","63.1","88376","36.9","from"
"Irving Park","16","32582","55794","36.9","63.1","88376","63.1","to"
"Dunning","17","3402","7563","31.0","69.0","10965","31.0","from"
"Dunning","17","3402","7563","31.0","69.0","10965","69.0","to"
"Montclare","18","952","1672","36.3","63.7","2624","36.3","from"
"Montclare","18","952","1672","36.3","63.7","2624","63.7","to"
"Belmont Cragin","19","5441","11952","31.3","68.7","17393","31.3","from"
"Belmont Cragin","19","5441","11952","31.3","68.7","17393","68.7","to"
"Hermosa","20","2464","5440","31.2","68.8","7904","31.2","from"
"Hermosa","20","2464","5440","31.2","68.8","7904","68.8","to"
"Avondale","21","14709","36838","28.5","71.5","51547","28.5","from"
"Avondale","21","14709","36838","28.5","71.5","51547","71.5","to"
"Logan Square","22","36714","129625","22.1","77.9","166339","22.1","from"
"Logan Square","22","36714","129625","22.1","77.9","166339","77.9","to"
"Humboldt Park","23","6963","16438","29.8","70.2","23401","29.8","from"
"Humboldt Park","23","6963","16438","29.8","70.2","23401","70.2","to"
"West Town","24","110333","393350","21.9","78.1","503683","21.9","from"
"West Town","24","110333","393350","21.9","78.1","503683","78.1","to"
"Austin","25","7139","13521","34.6","65.4","20660","34.6","from"
"Austin","25","7139","13521","34.6","65.4","20660","65.4","to"
"West Garfield Park","26","1557","3195","32.8","67.2","4752","32.8","from"
"West Garfield Park","26","1557","3195","32.8","67.2","4752","67.2","to"
"East Garfield Park","27","4259","9257","31.5","68.5","13516","31.5","from"
"East Garfield Park","27","4259","9257","31.5","68.5","13516","68.5","to"
"Near West Side","28","1342473","1377004","49.4","50.6","2719477","49.4","from"
"Near West Side","28","1342473","1377004","49.4","50.6","2719477","50.6","to"
"North Lawndale","29","3984","7916","33.5","66.5","11900","33.5","from"
"North Lawndale","29","3984","7916","33.5","66.5","11900","66.5","to"
"South Lawndale","30","2417","7582","24.2","75.8","9999","24.2","from"
"South Lawndale","30","2417","7582","24.2","75.8","9999","75.8","to"
"Lower West Side","31","6207","32196","16.2","83.8","38403","16.2","from"
"Lower West Side","31","6207","32196","16.2","83.8","38403","83.8","to"
"The Loop","32","3337500","2730181","55.0","45.0","6067681","55.0","from"
"The Loop","32","3337500","2730181","55.0","45.0","6067681","45.0","to"
