"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"Portage Park","2019/12/23","0","2","2","8","8","AM","8 AM"
"Portage Park","2019/12/23","4","1","5","9","9","AM","9 AM"
"Portage Park","2019/12/23","1","2","3","10","10","AM","10 AM"
"Portage Park","2019/12/23","5","1","6","11","11","AM","11 AM"
"Portage Park","2019/12/23","5","2","7","12","12","PM","12 PM"
"Portage Park","2019/12/23","0","2","2","13","1","PM","1 PM"
"Portage Park","2019/12/23","6","1","7","14","2","PM","2 PM"
"Portage Park","2019/12/23","4","3","7","16","4","PM","4 PM"
"Portage Park","2019/12/23","4","2","6","17","5","PM","5 PM"
"Portage Park","2019/12/23","3","2","5","18","6","PM","6 PM"
"Portage Park","2019/12/23","2","1","3","19","7","PM","7 PM"
"Portage Park","2019/12/23","3","2","5","20","8","PM","8 PM"
"Portage Park","2019/12/23","2","0","2","21","9","PM","9 PM"
"Portage Park","2019/12/23","1","0","1","22","10","PM","10 PM"
"Portage Park","2019/12/23","2","1","3","23","11","PM","11 PM"
"Portage Park","2019/12/24","2","0","2","0","12","AM","12 AM"
"Portage Park","2019/12/24","0","1","1","1","1","AM","1 AM"
"Portage Park","2019/12/24","2","0","2","2","2","AM","2 AM"
"Portage Park","2019/12/24","2","1","3","3","3","AM","3 AM"
"Portage Park","2019/12/24","0","1","1","4","4","AM","4 AM"
"Portage Park","2019/12/24","2","3","5","5","5","AM","5 AM"
"Portage Park","2019/12/24","1","2","3","6","6","AM","6 AM"
"Portage Park","2019/12/24","0","2","2","7","7","AM","7 AM"
"Portage Park","2019/12/24","4","0","4","8","8","AM","8 AM"
"Portage Park","2019/12/24","3","0","3","9","9","AM","9 AM"
"Portage Park","2019/12/24","4","0","4","10","10","AM","10 AM"
"Portage Park","2019/12/24","4","1","5","11","11","AM","11 AM"
"Portage Park","2019/12/24","2","3","5","12","12","PM","12 PM"
"Portage Park","2019/12/24","3","2","5","13","1","PM","1 PM"
"Portage Park","2019/12/24","4","0","4","14","2","PM","2 PM"
"Portage Park","2019/12/24","5","2","7","15","3","PM","3 PM"
"Portage Park","2019/12/24","5","3","8","16","4","PM","4 PM"
"Portage Park","2019/12/24","2","1","3","17","5","PM","5 PM"
"Portage Park","2019/12/24","2","1","3","18","6","PM","6 PM"
"Portage Park","2019/12/24","2","0","2","19","7","PM","7 PM"
"Portage Park","2019/12/24","1","1","2","20","8","PM","8 PM"
"Portage Park","2019/12/24","2","0","2","21","9","PM","9 PM"
"Portage Park","2019/12/24","2","0","2","22","10","PM","10 PM"
"Portage Park","2019/12/24","1","0","1","23","11","PM","11 PM"
"Portage Park","2019/12/25","3","1","4","0","12","AM","12 AM"
"Portage Park","2019/12/25","2","2","4","2","2","AM","2 AM"
"Portage Park","2019/12/25","2","0","2","3","3","AM","3 AM"
"Portage Park","2019/12/25","2","0","2","4","4","AM","4 AM"
"Portage Park","2019/12/25","2","1","3","7","7","AM","7 AM"
"Portage Park","2019/12/25","1","1","2","9","9","AM","9 AM"
"Portage Park","2019/12/25","0","1","1","10","10","AM","10 AM"
"Portage Park","2019/12/25","2","1","3","11","11","AM","11 AM"
"Portage Park","2019/12/25","4","0","4","12","12","PM","12 PM"
"Portage Park","2019/12/25","2","1","3","13","1","PM","1 PM"
"Portage Park","2019/12/25","2","1","3","14","2","PM","2 PM"
"Portage Park","2019/12/25","3","1","4","15","3","PM","3 PM"
"Portage Park","2019/12/25","2","0","2","16","4","PM","4 PM"
"Portage Park","2019/12/25","6","2","8","17","5","PM","5 PM"
"Portage Park","2019/12/25","1","2","3","18","6","PM","6 PM"
"Portage Park","2019/12/25","1","2","3","20","8","PM","8 PM"
"Portage Park","2019/12/25","2","1","3","21","9","PM","9 PM"
"Portage Park","2019/12/25","2","5","7","22","10","PM","10 PM"
"Portage Park","2019/12/25","1","0","1","23","11","PM","11 PM"
"Portage Park","2019/12/26","2","0","2","0","12","AM","12 AM"
"Portage Park","2019/12/26","3","1","4","1","1","AM","1 AM"
"Portage Park","2019/12/26","0","2","2","5","5","AM","5 AM"
"Portage Park","2019/12/26","2","2","4","8","8","AM","8 AM"
"Portage Park","2019/12/26","2","1","3","9","9","AM","9 AM"
"Portage Park","2019/12/26","3","0","3","10","10","AM","10 AM"
"Portage Park","2019/12/26","0","2","2","11","11","AM","11 AM"
"Portage Park","2019/12/26","4","0","4","12","12","PM","12 PM"
"Portage Park","2019/12/26","2","1","3","13","1","PM","1 PM"
"Portage Park","2019/12/26","2","0","2","14","2","PM","2 PM"
"Portage Park","2019/12/26","3","2","5","15","3","PM","3 PM"
"Portage Park","2019/12/26","1","3","4","16","4","PM","4 PM"
"Portage Park","2019/12/26","1","2","3","17","5","PM","5 PM"
"Portage Park","2019/12/26","3","1","4","18","6","PM","6 PM"
"Portage Park","2019/12/26","2","2","4","19","7","PM","7 PM"
"Portage Park","2019/12/26","1","0","1","20","8","PM","8 PM"
"Portage Park","2019/12/26","7","0","7","21","9","PM","9 PM"
"Portage Park","2019/12/26","4","0","4","22","10","PM","10 PM"
"Portage Park","2019/12/26","1","3","4","23","11","PM","11 PM"
"Portage Park","2019/12/27","2","0","2","0","12","AM","12 AM"
"Portage Park","2019/12/27","1","1","2","2","2","AM","2 AM"
"Portage Park","2019/12/27","0","1","1","3","3","AM","3 AM"
"Portage Park","2019/12/27","1","0","1","4","4","AM","4 AM"
"Portage Park","2019/12/27","1","3","4","5","5","AM","5 AM"
"Portage Park","2019/12/27","1","0","1","6","6","AM","6 AM"
"Portage Park","2019/12/27","2","1","3","8","8","AM","8 AM"
"Portage Park","2019/12/27","4","3","7","9","9","AM","9 AM"
"Portage Park","2019/12/27","3","1","4","10","10","AM","10 AM"
"Portage Park","2019/12/27","2","2","4","11","11","AM","11 AM"
"Portage Park","2019/12/27","0","2","2","12","12","PM","12 PM"
"Portage Park","2019/12/27","3","1","4","13","1","PM","1 PM"
"Portage Park","2019/12/27","3","4","7","14","2","PM","2 PM"
"Portage Park","2019/12/27","5","0","5","15","3","PM","3 PM"
"Portage Park","2019/12/27","4","1","5","16","4","PM","4 PM"
"Portage Park","2019/12/27","2","2","4","17","5","PM","5 PM"
"Portage Park","2019/12/27","1","1","2","18","6","PM","6 PM"
"Portage Park","2019/12/27","2","0","2","19","7","PM","7 PM"
"Portage Park","2019/12/27","1","3","4","20","8","PM","8 PM"
"Portage Park","2019/12/27","3","1","4","21","9","PM","9 PM"
"Portage Park","2019/12/27","2","1","3","22","10","PM","10 PM"
"Portage Park","2019/12/27","3","2","5","23","11","PM","11 PM"
"Portage Park","2019/12/28","3","1","4","0","12","AM","12 AM"
"Portage Park","2019/12/28","5","1","6","1","1","AM","1 AM"
"Portage Park","2019/12/28","4","1","5","2","2","AM","2 AM"
"Portage Park","2019/12/28","1","2","3","3","3","AM","3 AM"
"Portage Park","2019/12/28","3","1","4","4","4","AM","4 AM"
