"area_name","time","rides"
"Near West Side","0.0-0.5","2593795"
"Near West Side","0.5-1.0","111816"
"Near West Side","1.0-1.5","11880"
"Near West Side","2.0-2.5","366"
"Near West Side","1.5-2.0","1175"
"Near West Side","2.5-3.0","170"
"Near West Side","3.0-3.5","114"
"Near West Side","3.5-4.0","65"
"Near West Side","4.5-5.0","43"
"Near West Side","4.0-4.5","53"
"Edgewater","0.0-0.5","170729"
"Edgewater","0.5-1.0","29902"
"Edgewater","1.0-1.5","1712"
"Edgewater","1.5-2.0","264"
"Edgewater","2.0-2.5","120"
"Edgewater","4.0-4.5","30"
"Edgewater","3.5-4.0","42"
"Edgewater","3.0-3.5","51"
"Edgewater","4.5-5.0","13"
"Edgewater","2.5-3.0","85"
"Near North Side","0.0-0.5","6619482"
"Near North Side","0.5-1.0","448314"
"Near North Side","1.0-1.5","62185"
"Near North Side","1.5-2.0","4326"
"Near North Side","4.0-4.5","150"
"Near North Side","2.5-3.0","557"
"Near North Side","4.5-5.0","117"
"Near North Side","3.5-4.0","205"
"Near North Side","3.0-3.5","359"
"Near North Side","2.0-2.5","1073"
"Lincoln Square","0.0-0.5","89951"
"Lincoln Square","0.5-1.0","19033"
"Lincoln Square","1.5-2.0","95"
"Lincoln Square","1.0-1.5","742"
"Lincoln Square","3.0-3.5","19"
"Lincoln Square","2.0-2.5","25"
"Lincoln Square","3.5-4.0","12"
"Lincoln Square","2.5-3.0","21"
"Lincoln Square","4.0-4.5","7"
"Lincoln Square","4.5-5.0","5"
"The Loop","0.0-0.5","5644666"
"The Loop","0.5-1.0","361011"
"The Loop","1.0-1.5","56318"
"The Loop","2.0-2.5","867"
"The Loop","1.5-2.0","3846"
"The Loop","3.0-3.5","220"
"The Loop","2.5-3.0","424"
"The Loop","4.5-5.0","68"
"The Loop","4.0-4.5","114"
"The Loop","3.5-4.0","147"
"O'Hare","0.0-0.5","473957"
"O'Hare","0.5-1.0","898158"
"O'Hare","1.5-2.0","9283"
"O'Hare","3.0-3.5","611"
"O'Hare","1.0-1.5","152046"
"O'Hare","2.5-3.0","1009"
"O'Hare","4.0-4.5","216"
"O'Hare","2.0-2.5","1931"
"O'Hare","3.5-4.0","357"
"O'Hare","4.5-5.0","124"
"Near South Side","0.0-0.5","661578"
"Near South Side","0.5-1.0","61741"
"Near South Side","1.0-1.5","14338"
"Near South Side","3.0-3.5","60"
"Near South Side","2.5-3.0","91"
"Near South Side","1.5-2.0","1128"
"Near South Side","2.0-2.5","180"
"Near South Side","4.0-4.5","19"
"Near South Side","3.5-4.0","20"
"Near South Side","4.5-5.0","16"
"Lincoln Park","0.0-0.5","690298"
"Lincoln Park","0.5-1.0","62834"
"Lincoln Park","1.5-2.0","477"
"Lincoln Park","1.0-1.5","6641"
"Lincoln Park","3.5-4.0","43"
"Lincoln Park","4.0-4.5","33"
"Lincoln Park","2.5-3.0","112"
"Lincoln Park","2.0-2.5","163"
"Lincoln Park","3.0-3.5","50"
